Words,Url
địa chỉ,https://qipedc.moet.gov.vn/videos/D0001B.mp4?autoplay=true
địa chỉ,https://qipedc.moet.gov.vn/videos/D0001N.mp4?autoplay=true
địa chỉ,https://qipedc.moet.gov.vn/videos/D0001T.mp4?autoplay=true
tỉnh,https://qipedc.moet.gov.vn/videos/D0002.mp4?autoplay=true
tiếp tân,https://qipedc.moet.gov.vn/videos/D0003.mp4?autoplay=true
nhân viên,https://qipedc.moet.gov.vn/videos/D0004.mp4?autoplay=true
Miến Điện (nước Mi-an-ma),https://qipedc.moet.gov.vn/videos/D0005B.mp4?autoplay=true
Miến Điện (nước Mi-an-ma),https://qipedc.moet.gov.vn/videos/D0005N.mp4?autoplay=true
Miến Điện (nước Mi-an-ma),https://qipedc.moet.gov.vn/videos/D0005T.mp4?autoplay=true
Ma Cao,https://qipedc.moet.gov.vn/videos/D0006.mp4?autoplay=true
Do Thái,https://qipedc.moet.gov.vn/videos/D0007.mp4?autoplay=true
Ả Rập (nước Ả Rập),https://qipedc.moet.gov.vn/videos/D0008.mp4?autoplay=true
phương Tây,https://qipedc.moet.gov.vn/videos/D0009.mp4?autoplay=true
phương Đông,https://qipedc.moet.gov.vn/videos/D0010.mp4?autoplay=true
Đu Bai (nước Đu Bai),https://qipedc.moet.gov.vn/videos/D0011.mp4?autoplay=true
Albania (nước Albania),https://qipedc.moet.gov.vn/videos/D0012.mp4?autoplay=true
người nước ngoài,https://qipedc.moet.gov.vn/videos/D0013.mp4?autoplay=true
nhập khẩu,https://qipedc.moet.gov.vn/videos/D0014.mp4?autoplay=true
Tuy Hoà,https://qipedc.moet.gov.vn/videos/D0015.mp4?autoplay=true
Quy Nhơn,https://qipedc.moet.gov.vn/videos/D0016.mp4?autoplay=true
hấp dẫn,https://qipedc.moet.gov.vn/videos/D0017.mp4?autoplay=true
nổi da gà,https://qipedc.moet.gov.vn/videos/D0018.mp4?autoplay=true
ghen tị,https://qipedc.moet.gov.vn/videos/D0019B.mp4?autoplay=true
ghen tị,https://qipedc.moet.gov.vn/videos/D0019N.mp4?autoplay=true
ghen tị,https://qipedc.moet.gov.vn/videos/D0019T.mp4?autoplay=true
lung tung,https://qipedc.moet.gov.vn/videos/D0020B.mp4?autoplay=true
lung tung,https://qipedc.moet.gov.vn/videos/D0020N.mp4?autoplay=true
lung tung,https://qipedc.moet.gov.vn/videos/D0020T.mp4?autoplay=true
hói đầu,https://qipedc.moet.gov.vn/videos/D0021.mp4?autoplay=true
cười nhếch mép,https://qipedc.moet.gov.vn/videos/D0022.mp4?autoplay=true
cười vỡ bụng,https://qipedc.moet.gov.vn/videos/D0023.mp4?autoplay=true
tham ăn,https://qipedc.moet.gov.vn/videos/D0024B.mp4?autoplay=true
tham ăn,https://qipedc.moet.gov.vn/videos/D0024N.mp4?autoplay=true
tham ăn,https://qipedc.moet.gov.vn/videos/D0024T.mp4?autoplay=true
thèm,https://qipedc.moet.gov.vn/videos/D0026.mp4?autoplay=true
thèm rỏ dãi,https://qipedc.moet.gov.vn/videos/D0027.mp4?autoplay=true
đứng đầu (hàng đầu),https://qipedc.moet.gov.vn/videos/D0028.mp4?autoplay=true
thói quen,https://qipedc.moet.gov.vn/videos/D0029B.mp4?autoplay=true
